FILE_NAME,BLOBS_AREA_MEAN,BLOBS_AREA_STDEV,BLOBS_AREA_SUM,BLOBS_AREA_VARIANCE,BLOBS_BRIGHTNESS_MAX,BLOBS_BRIGHTNESS_MEAN,BLOBS_BRIGHTNESS_MIN,BLOBS_BRIGHTNESS_STDEV,BLOBS_COUNT,MAXBLOB_ANGLE,MAXBLOB_AREA,MAXBLOB_CIRCULARITY,MAXBLOB_CONVEXHULL_AREA,MAXBLOB_CONVEXHULL_PERIMETER,MAXBLOB_EQUIVALENT_DIAMETER,MAXBLOB_LENGTH_1ST,MAXBLOB_LENGTH_2ND,MAXBLOB_LENGTH_RATIO,MAXBLOB_PERIMETER,MAXBLOB_ROUGHNESS,MAXBLOB_SOLIDITY
18850_T5A46BQ0F1B_TCAOH710_80_-80.520_-544.816_O_M_20161202_032245.jpg,318.5,466.762,955.5,217867,210,68.1594,39,45.5138,3,-56.3099,856.5,0.239329,1386.5,169.87,33.0232,74.3298,27.1803,2.73469,212.066,1.2484,0.617743
18850_T5A46BQ0F2B_TCAOH710_58_499.699_95.597__M_20161202_032513.jpg,242.667,250.417,728,62708.6,204,85.1423,33,60.2636,3,-82.875,518,0.735385,553,86.3628,25.6815,28.9001,23.9387,1.20725,94.0833,1.0894,0.936709
18850_T5A46BQ0F3B_TCAOH710_7_-257.914_663.686__L_20161202_032648.jpg,286.9,186.428,1434.5,34755.4,167,71.9937,22,41.926,5,-16.3895,494.5,0.632052,556.5,90.2499,25.0922,35.1579,19.4695,1.8058,99.1543,1.09866,0.888589
18850_T5A46BQ0FSB_TCAOH710_97_-705.607_847.826_O_L_20161202_033732.jpg,212.167,105.107,1909.5,11047.4,174,49.0492,18,28.9302,9,-23.1986,391.5,0.680737,409,81.1147,22.3265,34.5336,15.4942,2.22881,85.0122,1.04805,0.957213
18850_T5A46BQ0FSB_TCAOH710_9_-274.810_-22.227__M_20161202_033628.jpg,169.667,154.223,1018,23784.8,166,70.391,33,42.7106,6,-86.6335,426,0.35238,502,113.013,23.2895,50.2661,11.5095,4.36735,123.255,1.09063,0.848606
18850_T5A46BQ0FTB_TCAOH710_80_605.562_-468.086_O_M_20161202_034014.jpg,458.8,540.676,4588,292331,202,70.3513,31,36.1196,10,-32.7352,1726.5,0.297595,2411.5,235.502,46.8855,99.7397,32.866,3.03473,270.007,1.14652,0.715944
18850_T5A46BQ0HKB_TCAOH310_88_-50.144_-814.930_O_M_20161202_225143.jpg,608.5,466.874,1825.5,217972,142,46.1255,19,24.4669,3,-45,887,0.621853,964.5,124.818,33.606,51.6188,25.4558,2.02778,133.882,1.07262,0.919647
18850_T5A46BR013B_TCAOH410_269_-511.356_630.602_O_L_20161202_014836.jpg,502.917,571.624,3017.5,326754,213,68.1205,31,36.0369,6,-68.1986,1428,0.573739,1530,163.837,42.6402,69.2644,27.2972,2.53741,176.853,1.07944,0.933333
18850_T5A46BR013B_TCAOH410_270_-511.331_630.656_O_L_20161202_014836.jpg,447.5,581.678,3132.5,338349,220,75.0834,32,38.113,7,-67.8337,1481.5,0.59131,1571,166.073,43.4316,70.383,27.0968,2.59747,177.439,1.06844,0.94303
18850_T5A46BR013B_TCAOH410_41_689.389_-624.764_O_M_20161202_014830.jpg,113.4,67.4754,567,4552.93,189,103.252,61,31.1677,5,-45,209,0.805176,217,54.9808,16.3128,19.0919,14.1421,1.35,57.1127,1.03877,0.963134
